Jumlah Mahasiswa,Jumlah Dosen,Jumlah Program Studi,Fasilitas Olahraga,Wisma/Asrama/Hotel,Teknologi Informasi,Public Area,PERS Mahasiswa,Asuransi,Gedung Pertemuan,Laboratorium,Poliklinik,Bus Kampus,Kalender Pendidikan,Pusat Pelatihan Bahasa,Perpustakaan,Sarana Ibadah,Free Hotspot,Jumlah Fasilitas,Bus Umum,Restaurant,Tempat Ibadah,Kos/Asrama,Terminal Bus,Café,Tempat Olahraga,Bandara,Mall,Rumah Sakit,Stasiun Kereta,Supermarket,Apotek,Jumlah Tempat Umum Terdekat,Akreditasi,Ranking Nasional
552,21,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2347
803,31,6,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2327
536,21,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2349
357,14,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,2333
374,14,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2379
268,10,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2394
450,16,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2440
508,18,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2453
281,10,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2446
637,23,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2435
3362,114,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2482
583,20,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2483
86,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2496
439,15,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2484
1605,54,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2524
283,9,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2581
689,22,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2563
428,13,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2655
245,7,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2736
632,18,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2724
256,7,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2795
294,10,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2851
1965,48,5,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2898
2719,65,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2924
415,10,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2931
845,19,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,2964
1111,24,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,3005
2736,57,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,1042
1921,34,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,3165
741,5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,3467
27923,695,22,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3,28
23149,895,47,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3,29
28437,1001,34,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3,34
13306,426,28,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3,38
13817,293,26,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3,51
1232,88,12,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3,89
15348,509,16,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,96
14966,360,10,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,99
6495,313,34,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,3,104
3414,109,16,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,107
6772,172,14,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,10,1,1,1,1,1,1,1,0,1,1,1,1,1,12,2,109
1647,48,4,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,120
2276,144,12,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,6,0,1,1,1,0,1,0,0,1,0,0,0,1,6,2,130
